ID,CLASS,CRN,TREE,BRANCH,COURSE_CEILING,MAJOR,MAJOR2,SUBJ,NUMB,SEQ
1,SENI,25143,1,1,5,AFR,,AFR,495,0
2,SENI,25143,1,5,5,AFR,,AFR,495,0
2,SENI,25143,2,2,5,AFR,,AFR,495,0
2,SENI,25143,3,1,5,AFR,,AFR,495,0
3,SENI,25346,1,4,15,PSY,,AFR,300,0
3,SENI,25346,1,6,15,PSY,,AFR,300,0
3,SENI,25346,2,3,15,PSY,,AFR,300,0
3,SENI,25346,2,5,15,PSY,,AFR,300,0
3,SENI,25346,3,2,15,PSY,,AFR,300,0
3,SENI,25346,4,1,15,PSY,,AFR,300,0
4,JUNI,25346,1,3,15,PSY,AFR,AFR,300,0
4,JUNI,25346,1,6,15,PSY,AFR,AFR,300,0
5,SOPH,25346,1,5,15,XBUS,,AFR,300,0
5,SOPH,25346,4,3,15,XBUS,,AFR,300,0
6,SOPH,25346,2,2,15,XPRE,,AFR,300,0
6,SOPH,25346,4,2,15,XPRE,,AFR,300,0
7,FRST,25346,2,2,15,XENV,,AFR,300,0
7,FRST,25346,3,2,15,XENV,,AFR,300,0
8,SENI,20025,1,2,30,PHY,,ANT,101,0
8,SENI,20025,2,1,30,PHY,,ANT,101,0
9,SENI,20025,4,3,30,HSP,,ANT,101,0
10,SENI,20025,1,2,30,POL,,ANT,101,0
10,SENI,20025,2,1,30,POL,,ANT,101,0
10,SENI,20025,4,2,30,POL,,ANT,101,0
11,SENI,20025,1,7,30,HSP,,ANT,101,0
11,SENI,20025,2,4,30,HSP,,ANT,101,0
11,SENI,20025,2,7,30,HSP,,ANT,101,0
11,SENI,20025,4,2,30,HSP,,ANT,101,0
12,SENI,20025,2,4,30,ECO,,ANT,101,0
12,SENI,20025,2,5,30,ECO,,ANT,101,0
12,SENI,20025,2,6,30,ECO,,ANT,101,0
13,SENI,20025,2,1,30,CHE,,ANT,101,0
14,JUNI,20025,2,4,30,POL,,ANT,101,0
14,JUNI,20025,3,4,30,POL,,ANT,101,0
15,JUNI,20025,1,2,30,CLA,,ANT,101,0
15,JUNI,20025,2,2,30,CLA,,ANT,101,0
15,JUNI,20025,3,2,30,CLA,,ANT,101,0
16,SOPH,20025,4,3,30,XPOL,,ANT,101,0
17,JUNI,20025,3,7,30,BIO,,ANT,101,0
18,JUNI,20025,4,3,30,CHE,,ANT,101,0
19,JUNI,20025,1,4,30,FRS,,ANT,101,0
19,JUNI,20025,1,6,30,FRS,,ANT,101,0
19,JUNI,20025,2,3,30,FRS,,ANT,101,0
19,JUNI,20025,2,5,30,FRS,,ANT,101,0
19,JUNI,20025,3,3,30,FRS,,ANT,101,0
19,JUNI,20025,3,5,30,FRS,,ANT,101,0
19,JUNI,20025,4,2,30,FRS,,ANT,101,0
20,JUNI,20025,1,4,30,CLA,,ANT,101,0
20,JUNI,20025,1,7,30,CLA,,ANT,101,0
20,JUNI,20025,2,3,30,CLA,,ANT,101,0
20,JUNI,20025,2,5,30,CLA,,ANT,101,0
20,JUNI,20025,3,2,30,CLA,,ANT,101,0
20,JUNI,20025,4,1,30,CLA,,ANT,101,0
21,JUNI,20025,2,6,30,CLA,,ANT,101,0
